description,city_name,date
"In Delhi during 01/1990, the average temperature was 16.32°C, with highs up to 28.40°C and lows down to 5.20°C. There were 0.00 hours of precipitation and total precipitation of 0.00 mm. There were 299.89 hours of sunshine, with an average of 10.55 hours of daylight. The most frequent weather was Sunny occurring on 17 days.",Delhi,1990-01
"In Delhi during 02/1990, the average temperature was 16.36°C, with highs up to 25.60°C and lows down to 7.60°C. There were 142.00 hours of precipitation and total precipitation of 106.20 mm. There were 234.12 hours of sunshine, with an average of 11.18 hours of daylight. The most frequent weather was Cloudy occurring on 7 days.",Delhi,1990-02
"In Delhi during 03/1990, the average temperature was 20.37°C, with highs up to 32.30°C and lows down to 7.60°C. There were 4.00 hours of precipitation and total precipitation of 1.70 mm. There were 336.71 hours of sunshine, with an average of 11.99 hours of daylight. The most frequent weather was Cloudy occurring on 11 days.",Delhi,1990-03
"In Delhi during 04/1990, the average temperature was 28.69°C, with highs up to 42.80°C and lows down to 12.90°C. There were 13.00 hours of precipitation and total precipitation of 6.50 mm. There were 345.92 hours of sunshine, with an average of 12.85 hours of daylight. The most frequent weather was Cloudy occurring on 15 days.",Delhi,1990-04
"In Delhi during 05/1990, the average temperature was 32.53°C, with highs up to 43.10°C and lows down to 21.90°C. There were 35.00 hours of precipitation and total precipitation of 25.20 mm. There were 380.96 hours of sunshine, with an average of 13.57 hours of daylight. The most frequent weather was Partly Cloudy occurring on 8 days.",Delhi,1990-05
"In Delhi during 06/1990, the average temperature was 34.36°C, with highs up to 42.80°C and lows down to 26.30°C. There were 59.00 hours of precipitation and total precipitation of 55.10 mm. There were 345.50 hours of sunshine, with an average of 13.93 hours of daylight. The most frequent weather was Partly Cloudy occurring on 8 days.",Delhi,1990-06
"In Delhi during 07/1990, the average temperature was 28.84°C, with highs up to 36.10°C and lows down to 24.90°C. There were 267.00 hours of precipitation and total precipitation of 242.40 mm. There were 245.04 hours of sunshine, with an average of 13.76 hours of daylight. The most frequent weather was Light Drizzle occurring on 8 days.",Delhi,1990-07
"In Delhi during 08/1990, the average temperature was 28.20°C, with highs up to 34.00°C and lows down to 24.60°C. There were 256.00 hours of precipitation and total precipitation of 172.20 mm. There were 280.47 hours of sunshine, with an average of 13.15 hours of daylight. The most frequent weather was Light Rain occurring on 9 days.",Delhi,1990-08
"In Delhi during 09/1990, the average temperature was 27.38°C, with highs up to 34.00°C and lows down to 22.70°C. There were 201.00 hours of precipitation and total precipitation of 128.30 mm. There were 281.75 hours of sunshine, with an average of 12.34 hours of daylight. The most frequent weather was Light Drizzle occurring on 10 days.",Delhi,1990-09
"In Delhi during 10/1990, the average temperature was 24.64°C, with highs up to 33.40°C and lows down to 12.90°C. There were 8.00 hours of precipitation and total precipitation of 3.30 mm. There were 329.84 hours of sunshine, with an average of 11.49 hours of daylight. The most frequent weather was Sunny occurring on 19 days.",Delhi,1990-10
"In Delhi during 11/1990, the average temperature was 20.63°C, with highs up to 30.80°C and lows down to 8.90°C. There were 11.00 hours of precipitation and total precipitation of 13.70 mm. There were 293.61 hours of sunshine, with an average of 10.74 hours of daylight. The most frequent weather was Sunny occurring on 19 days.",Delhi,1990-11
"In Delhi during 12/1990, the average temperature was 15.55°C, with highs up to 25.40°C and lows down to 4.20°C. There were 21.00 hours of precipitation and total precipitation of 26.00 mm. There were 288.50 hours of sunshine, with an average of 10.36 hours of daylight. The most frequent weather was Sunny occurring on 12 days.",Delhi,1990-12
"In Delhi during 01/1991, the average temperature was 13.37°C, with highs up to 29.80°C and lows down to 3.20°C. There were 0.00 hours of precipitation and total precipitation of 0.00 mm. There were 297.90 hours of sunshine, with an average of 10.55 hours of daylight. The most frequent weather was Sunny occurring on 11 days.",Delhi,1991-01
"In Delhi during 02/1991, the average temperature was 17.51°C, with highs up to 29.40°C and lows down to 7.20°C. There were 45.00 hours of precipitation and total precipitation of 31.10 mm. There were 268.90 hours of sunshine, with an average of 11.17 hours of daylight. The most frequent weather was Cloudy occurring on 12 days.",Delhi,1991-02
"In Delhi during 03/1991, the average temperature was 21.68°C, with highs up to 37.10°C and lows down to 9.40°C. There were 38.00 hours of precipitation and total precipitation of 32.60 mm. There were 331.47 hours of sunshine, with an average of 11.99 hours of daylight. The most frequent weather was Cloudy occurring on 14 days.",Delhi,1991-03
"In Delhi during 04/1991, the average temperature was 28.02°C, with highs up to 41.10°C and lows down to 16.60°C. There were 24.00 hours of precipitation and total precipitation of 19.00 mm. There were 348.17 hours of sunshine, with an average of 12.84 hours of daylight. The most frequent weather was Sunny occurring on 7 days.",Delhi,1991-04
